PROJECT: West SM																		
GC:																		
PM: Karina																		
ID:																		
PROJECT:																		
NOTES:																		
↩ Symbol																		
Gray rows represent bottom line costs. If only single gray line, only a single item was purchased via respective PO #. White rows above gray bottom line is itemized list per PO #.																		
																		
PO/ Order #:	Create Date:	Vendor Name:	Card #:	Order Sub Total:	Shipping/ Handling:	Delivery:	Tax:	Grand Total:	Trade Adjustment:	Item:	Shipped to:	Tracking Information:	Notes:	Arrived:	Return/Change Order:	Refund Confirmed	Change Comments:	Purchased By:
										PLACEHOLDER FOR Holly H RUGS	2780 Warehouse			FALSE	FALSE	FALSE		
4323040 TICJUL281123		The Invisible Collection	Visa 9907	 $ 10,287.00 						(1) Split Armchair	306 West San Marino Drive			FALSE	FALSE	FALSE		
4323040 TICJUL281123		The Invisible Collection	Visa 9907	 $ 5,368.50 						(1) Split Ottoman	306 West San Marino Drive			FALSE	FALSE	FALSE		
4323040 TICJUL281123	11/29/23	The Invisible Collection	Visa 9907		 $ 4,540.00 	 $ -   	 $ -   	 $ 10,097.75 	 $ (1,739.50)	↩ 50% DEPOSIT	306 West San Marino Drive	18-20 weeks lead.	Remaning balance due: $10097.75	FALSE	FALSE	FALSE		
6233	11/30/23	Studio Twenty Seven	Bank Wire	 $ 43,305.00 	 $ 8,500.00 	 $ 1,550.00 	 $ 3,279.31 	 $ 23,292.16 		50% DEPOSIT Arpeges Table	306 West San Marino Drive	PLACEHOLDER UNTIL PAYMENT COMPLETION	50% remaining balance due. 20 weeks lead time from payment.	FALSE	FALSE	FALSE		
23102601	12/1/23	Ateliers Gohard	Bank Wire					 $ 9,910.00 		50% DEPOSIT Gohard Coffee Table	TBD		9910 paid - 50% paid, 50% due plus tax and shipping?	FALSE	FALSE	FALSE		
2094	12/1/23	Italo Design Miami	Visa 9907	 $ 1,499.00 	 $ 290.00 	 $ -   	 $ 125.23 	 $ 1,914.23 	 $ -   	(1) Atlantic Dining / "Sedia" Chair by ReflexAngelo	306 West San Marino Drive	14-20 weeks lead time.	Paid in full. They kindly placed our order into production prior to payment!	FALSE	FALSE	FALSE		
PROFORMA 23-11-16-02		Galerie G	Bank Wire	€16,200.00						(1) Pair of « Barel » nightstands in travertine stone marquetry and brass. 1 drawer	Ebano 5179 NW 74 Ave, Miami			TRUE	FALSE	FALSE		
PROFORMA 23-11-16-02		Galerie G	Bank Wire	€9,200.00						(1) 2 Floor lamps in patinated brass and alabaster globe Designed by Glustin Luminaires	Ebano 5179 NW 74 Ave, Miami			FALSE	FALSE	FALSE		
PROFORMA 23-11-16-02	12/1/23	Galerie G	Bank Wire	 $ -   	 $ -   	 $ -   	 $ -   	 $ 28,520.10 		↩	Ebano 5179 NW 74 Ave, Miami	Shipped to Ebano ;; https://www.dhl.com/fr-en/home/tracking/tracking-express.html?submit=1&tracking-id=95%201341%205170	Paid in full. Pending shipping costs. Converted Euro to USD	FALSE	FALSE	FALSE		
87516627	12/5/23	Build	Visa 9907	 $ 774.87 	 $ 45.00 	 $ -   	 $ 57.39 	 $ 877.26 		(1) Darling New 0.8/1.6 GPF Dual Flush Wall Mounted One Piece Elongated Toilet with Wall Hand Lever - Less Seat; added: DuraSystem Actuator Plate A1, for Toilet and WD1022 In Wall Tank, Darling New Elongated Closed-Front Toilet Seat with Soft Close 	306 West San Marino Drive	Friday the 8th ;; R+L Carriers: Tracking #442098459 	Purchased ASAP per Greg direction on Slack channel. Shipped directly to WSM site	TRUE	FALSE	FALSE		
Proforma: KPL-2296	12/5/23	Kifu Paris	Bank Wire	 $ 5,120.00 	 $ 875.00 	 $ -   		 $ 2,997.50 		50% DEPOSIT (1) Dandy Day Bench	306 West San Marino Drive	14-16 weeks	Shipping to WSM, 50% paid, 50% due. Total at end to be: 5995	FALSE	FALSE	FALSE		
	12/14/23	Arredo Italiano	Bank Wire					 $ 9,423.16 		50% DEPOSIT Olivari hardware	Ebano 5179 NW 74 Ave, Miami		Shipping to Ebano	FALSE	FALSE	FALSE		
Q00049684	12/18/23	Fuse	Visa 9907	 $ 9,727.00 	 $ -   	 $ -   	 $ 633.62 	 $ 5,180.31 		50% DEPOSIT Viking Grill	2780 Warehouse		Shipping to Warehouse	FALSE	FALSE	FALSE		
N215962436C	12/18/23	BBQ Guys	Visa 9907	 $ 9,660.55 	 $ -   	 $ -   	 $ 675.42 	 $ 10,335.97 	 $ (508.45)	(1) Scotsman Brilliance 80 Lb. 15-Inch Nugget Ice Machine With Drain Pump - Custom Panel / Stainless Cabinet - SCN60PA1SU; (1) Perlick 24-Inch Signature Series Stainless Steel Panel Ready Outdoor Refrigerator w/ Door Lock - Left Hinged - HP24RO-4-2LL	2780 Warehouse	Fridge shipping to wareouse Jan 3 https://mail.google.com/mail/u/0/?tab=rm&ogbl#inbox/FMfcgzGwJJdhZNmCbVzsGzRPGlXxgVrR	Shipping to Warehouse	TRUE	FALSE	FALSE		
# EST-2391-4727	12/19/23	Waterbox	Bank Wire	 $ 6,395.25 	 $ 210.00 	 $ 40.00 	 $ 447.67 	 $ 7,092.92 		The Galley Sink and Faucet	2780 Warehouse	Arrived.	Shipping to warehouse	TRUE	FALSE	FALSE		
CX00054120	12/19/23	Tuuci	Bank Wire	 $ 5,395.00 	 $ 481.00 	 $ -   	 $ 377.65 	 $ 6,253.65 		OceanMaster M1; G-Plate Stack Combo 145lbs	306 West San Marino Drive	4-6 weeks lead time.	ETA 1/24-2/7 100% PAID	FALSE	FALSE	FALSE		
#3661NY	12/28/23	RugArt	Bank Wire	 $ 11,760.00 	 TBD 	 $ -   	 $ 1,043.70 	 $ 6,401.85 		50% DEPOSIT Landscape Rug	306 West San Marino Drive		Shipping directly to site. Total to be: 12,803.70	FALSE	FALSE	FALSE		
US0197242	1/3/24	Casamance Group	Visa 9907	 $ 1,020.00 	 $ 94.00 	 $ -   	 $ 114.19 	 $ 1,228.19 		5 YARDS PEINTURES DE PAIX GRIS DE MAURE Fabric for Turah Stool	Holly H 3800 West 44th Ave, Chicago, IL	DHL: 3217598602	Shipping to Holly H Turah Stools:   USA	FALSE	FALSE	FALSE		
	12/29/23	Casamance Group	Bank Wire	 $ 11,220.00 	 $ 1,116.00 	 $ -   	 $ -   	 $ 12,336.00 		55 YARDS PEINTURES DE PAIX GRIS DE MAURE Fabric for Turah Stool	Trazos, Guatemala		Shipping to Trazos: GUATEMALA,01014 GUATEMALA	FALSE	FALSE	FALSE		
2296374323	1/9/24	DHL	Visa 9907	 $ 1,741.91 	 $ -   	 $ -   	 $ -   	 $ 1,741.91 		DHL Customs for Edition Bougainville	2780 Warehouse	DHL Waybill Number: 2296374323		FALSE	FALSE	FALSE		
99198502	1/9/24	1stDibs	Visa 9907	 $ 3,190.00 	 $ -   	 $ -   	 $ 189.77 	 $ 2,711.00 	 $ (479.00)	(1) Triple Tier Tall Ceramic Hex Side Table in Pams Blue by BZIPPY	306 West San Marino Drive	11-12 weeks lead time		FALSE	FALSE	FALSE		
#87775120	1/9/24	Build	Visa 3290	 $ 577.09 	 $ 189.96 	 $ -   	 $ 53.69 	 $ 820.74 	 $ -   	(1) Duravit Dura System Toilet In Wall Standard Tank & Carrier - 1.6 / 0.8 GPF ADA Compliant (1) Duravit DuraSystem Actuator Plate A1, for Toilet and WD1022 In Wall Tank	306 West San Marino Drive	January 9	Greg ordered, next day delivery.	FALSE	FALSE	FALSE		
2005585	1/9/24	Kvadrat	Bank Wire	 $ 3,307.50 	 $ 1,268.40 	 $ -   	 $ 320.31 	 $ 4,896.21 	 $ -   	42 YARDS Ash / 500 Fabric	Magy Interiors 2814 NW 17th Ave, Miami		WSM Hallways	FALSE	FALSE	FALSE		
42961	1/10/24	de Le Cuona	Bank Wire	 $ 25,856.00 	 $ 335.00 	 $ -   	 $ -   	 $ 13,095.50 	 $ -   	50% DEPOSIT 64 YARDS Hermitage - Rose Marble Fabric	Magy Interiors 2814 NW 17th Ave, Miami		WSM Master Bedroom	FALSE	FALSE	FALSE		
										2 Edition Bougainville Rugs	2780 Warehouse		Don't have visibility on this at all, apparently Julien ordered. Two rugs arrived in warehouse per warehouse staff update	TRUE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
														FALSE	FALSE	FALSE		
